step,vehicle_id,departDelay,duration,routeLength,waitingTime,waitingCount,timeLoss
1375.00,1_172,-0.57,147.00,596.93,98.00,1,110.64
1377.00,1_175,0.00,127.00,596.93,78.00,1,91.96
1391.00,1_189,0.00,41.00,617.75,0.00,0,6.93
1401.00,1_190,-0.14,44.00,617.75,0.00,0,6.95
1404.00,1_191,-0.29,40.00,615.10,0.00,0,5.02
1411.00,1_180,-0.71,126.00,615.10,82.00,1,97.05
1412.00,1_174,-0.86,170.00,596.93,125.00,1,136.32
1412.00,1_182,0.00,112.00,617.75,69.00,1,80.13
1414.00,1_186,-0.57,86.00,617.75,40.00,1,55.18
1416.00,1_187,-0.71,81.00,615.10,30.00,2,44.63
1417.00,1_193,-0.57,39.00,615.10,0.00,0,8.74
1418.00,1_188,-0.86,76.00,617.75,27.00,1,41.75
1426.00,1_194,-0.71,41.00,596.93,0.00,0,8.80
1454.00,1_198,-0.29,40.00,617.75,0.00,0,8.01
1490.00,1_203,0.00,40.00,617.75,0.00,0,9.60
1492.00,1_185,-0.43,171.00,596.93,125.00,1,136.74
1494.00,1_201,-0.71,59.00,615.10,12.00,1,21.89
1516.00,1_207,-0.57,38.00,615.10,0.00,0,5.37
1551.00,1_212,-0.29,37.00,615.10,0.00,0,5.08
1572.00,1_214,-0.57,44.00,615.10,0.00,0,5.08
1592.00,1_218,-0.14,35.00,615.10,0.00,0,5.12
1613.00,1_196,0.00,213.00,596.93,169.00,1,181.68
1615.00,1_213,-0.43,94.00,596.93,49.00,1,64.17
1616.00,1_197,-0.14,209.00,615.10,161.00,1,172.22
1616.00,1_221,-0.57,38.00,596.93,0.00,0,10.54
1618.00,1_195,-0.86,226.00,617.75,175.00,1,186.62
1633.00,1_192,-0.43,262.00,596.93,218.00,1,232.73
1634.00,1_206,-0.43,163.00,615.10,118.00,1,131.22
1635.00,1_202,-0.86,193.00,617.75,147.00,1,160.61
1635.00,1_210,0.00,135.00,605.00,93.00,1,106.53
1637.00,1_219,-0.29,73.00,615.10,22.00,2,38.08
1639.00,1_199,-0.43,218.00,596.93,167.00,1,179.40
1640.00,1_220,-0.43,69.00,617.75,20.00,1,35.52
1641.00,1_200,-0.57,213.00,596.93,164.00,1,178.84
1641.00,1_223,-0.86,49.00,617.75,1.00,1,18.02
1642.00,1_205,-0.29,178.00,596.93,129.00,1,147.19
1644.00,1_208,-0.71,159.00,596.93,109.00,1,125.89
1646.00,1_215,-0.71,111.00,596.93,63.00,1,81.74
1652.00,1_222,-0.71,67.00,596.93,12.00,1,29.13
1660.00,1_227,-0.43,39.00,617.75,0.00,0,8.83
1663.00,1_228,-0.57,35.00,615.10,0.00,0,5.27
1682.00,1_230,-0.86,40.00,617.75,0.00,0,7.99
1716.00,1_204,-0.14,259.00,596.93,215.00,1,228.79
1718.00,1_209,-0.86,226.00,617.75,181.00,1,192.66
1718.00,1_225,-0.14,111.00,615.10,65.00,1,77.73
1719.00,1_217,0.00,169.00,596.93,123.00,1,138.34
1720.00,1_211,-0.14,213.00,617.75,166.00,1,181.05
1723.00,1_216,-0.86,181.00,617.75,133.00,1,146.74
1725.00,1_231,0.00,75.00,617.75,27.00,1,45.82
1727.00,1_233,-0.29,63.00,617.75,14.00,1,33.73
1753.00,1_240,-0.29,39.00,615.10,0.00,0,5.57
1761.00,1_241,-0.43,40.00,596.93,0.00,0,8.82
1782.00,1_244,-0.86,40.00,596.93,0.00,0,9.12
1799.00,1_246,-0.14,42.00,596.93,0.00,0,9.06
1801.00,1_239,-0.14,94.00,615.10,52.00,1,65.89
1804.00,1_226,-0.29,190.00,615.10,144.00,1,163.99
1804.00,1_234,-0.43,133.00,615.10,86.00,1,97.80
1805.00,1_229,-0.71,170.00,596.93,124.00,1,137.87
1807.00,1_243,-0.71,72.00,596.93,26.00,1,40.05
1888.00,1_224,0.00,288.00,596.93,246.00,1,256.51
1889.00,1_247,-0.29,125.00,605.00,80.00,1,94.68
1890.00,1_242,-0.57,162.00,617.75,117.00,1,127.71
1892.00,1_232,-0.14,235.00,596.93,188.00,1,201.75
1892.00,1_245,0.00,142.00,617.75,95.00,1,108.59
1893.00,1_249,-0.57,115.00,596.93,69.00,1,86.80
1893.00,1_251,-0.86,101.00,615.10,49.00,1,64.27
1894.00,1_253,-0.14,87.00,617.75,40.00,1,52.91
