step,tl_id,lane_idqueue_length
145,0,1i_0,2
146,0,4i_0,0
146,0,3i_0,0
146,0,2i_0,1
146,0,1i_0,1
147,0,4i_0,0
147,0,3i_0,0
147,0,2i_0,2
147,0,1i_0,1
148,0,4i_0,0
148,0,3i_0,0
148,0,2i_0,2
148,0,1i_0,1
149,0,4i_0,0
149,0,3i_0,0
149,0,2i_0,1
149,0,1i_0,0
150,0,4i_0,0
150,0,3i_0,0
150,0,2i_0,0
150,0,1i_0,0
151,0,4i_0,0
151,0,3i_0,0
151,0,2i_0,0
151,0,1i_0,0
152,0,4i_0,0
152,0,3i_0,0
152,0,2i_0,0
152,0,1i_0,0
153,0,4i_0,0
153,0,3i_0,0
153,0,2i_0,0
153,0,1i_0,0
154,0,4i_0,0
154,0,3i_0,0
154,0,2i_0,0
154,0,1i_0,0
155,0,4i_0,0
155,0,3i_0,0
155,0,2i_0,0
155,0,1i_0,0
156,0,4i_0,1
156,0,3i_0,0
156,0,2i_0,0
156,0,1i_0,0
157,0,4i_0,1
157,0,3i_0,0
157,0,2i_0,0
157,0,1i_0,0
158,0,4i_0,1
158,0,3i_0,0
158,0,2i_0,0
158,0,1i_0,0
159,0,4i_0,1
159,0,3i_0,0
159,0,2i_0,0
159,0,1i_0,0
160,0,4i_0,1
160,0,3i_0,0
160,0,2i_0,0
160,0,1i_0,0
161,0,4i_0,1
161,0,3i_0,0
161,0,2i_0,0
161,0,1i_0,0
162,0,4i_0,1
162,0,3i_0,1
162,0,2i_0,0
162,0,1i_0,0
163,0,4i_0,1
163,0,3i_0,1
163,0,2i_0,0
163,0,1i_0,0
164,0,4i_0,1
164,0,3i_0,1
164,0,2i_0,0
164,0,1i_0,0
165,0,4i_0,1
165,0,3i_0,1
165,0,2i_0,0
165,0,1i_0,0
166,0,4i_0,0
166,0,3i_0,0
166,0,2i_0,0
166,0,1i_0,0
167,0,4i_0,0
167,0,3i_0,0
167,0,2i_0,0
167,0,1i_0,0
168,0,4i_0,0
168,0,3i_0,0
168,0,2i_0,0
168,0,1i_0,0
169,0,4i_0,0
169,0,3i_0,0
169,0,2i_0,0
169,0,1i_0,0
170,0,4i_0,0
170,0,3i_0,0
