step,vehicle_id,departDelay,duration,routeLength,waitingTime,waitingCount,timeLoss
272.00,101,-0.89,183.00,596.93,131.00,1,148.97
272.00,156,1.16,132.00,615.10,79.00,2,105.12
273.00,109,1.99,174.00,617.75,123.00,1,139.05
274.00,112,5.32,169.00,617.75,119.00,1,139.09
275.00,111,3.21,173.00,596.93,119.00,1,136.08
275.00,197,-0.33,100.00,615.10,49.00,1,63.39
277.00,125,-0.25,166.00,596.93,114.00,1,137.64
277.00,194,-0.66,105.00,615.10,51.00,2,72.42
278.00,148,1.28,145.00,617.75,91.00,1,111.05
278.00,208,-0.12,93.00,615.10,41.00,1,59.83
278.00,224,6.64,72.00,605.00,25.00,1,40.68
280.00,226,7.86,71.00,615.10,21.00,1,44.90
281.00,134,6.74,155.00,596.93,101.00,1,128.96
281.00,174,-0.86,127.00,617.75,71.00,1,92.43
281.00,217,9.87,78.00,615.10,25.00,2,48.33
282.00,127,0.97,168.00,596.93,111.00,1,129.17
282.00,133,4.63,159.00,596.93,102.00,1,128.89
283.00,178,-0.42,125.00,617.75,71.00,1,93.99
283.00,236,3.96,69.00,615.10,18.00,2,38.12
284.00,180,0.80,123.00,617.75,69.00,1,93.20
286.00,147,-0.83,156.00,596.93,100.00,1,124.50
287.00,209,1.99,99.00,607.65,43.00,1,66.00
289.00,212,2.32,98.00,617.75,40.00,1,65.30
291.00,160,0.60,148.00,596.93,88.00,1,111.50
291.00,262,6.82,51.00,615.10,0.00,0,20.45
292.00,213,4.43,98.00,617.75,39.00,1,67.36
292.00,255,7.05,58.00,615.10,1.00,1,13.18
293.00,216,7.76,93.00,596.93,32.00,1,59.87
294.00,231,6.41,82.00,596.93,24.00,1,53.83
294.00,271,1.81,51.00,615.10,0.00,0,13.83
295.00,272,3.92,49.00,615.10,0.00,0,18.76
296.00,248,4.28,71.00,596.93,10.00,1,42.85
298.00,214,6.54,101.00,617.75,36.00,1,60.96
299.00,238,5.18,82.00,617.75,17.00,1,52.08
299.00,253,2.83,71.00,596.93,9.00,1,38.42
301.00,261,4.71,64.00,596.93,3.00,1,35.70
302.00,242,5.62,81.00,617.75,17.00,1,46.66
303.00,247,3.17,80.00,617.75,17.00,1,48.44
306.00,287,-0.43,51.00,596.93,0.00,0,15.56
307.00,302,-0.78,39.00,615.10,0.00,0,6.54
308.00,254,4.94,77.00,617.75,10.00,1,39.10
308.00,297,-0.33,44.00,596.93,0.00,0,11.34
311.00,274,5.14,62.00,617.75,0.00,0,23.20
313.00,279,2.69,62.00,617.75,0.00,0,27.23
313.00,304,0.44,42.00,596.93,0.00,0,9.46
314.00,282,2.02,61.00,617.75,0.00,0,26.06
316.00,318,-0.02,33.00,615.10,0.00,0,5.51
328.00,85,-0.65,253.00,596.93,209.00,1,220.84
328.00,98,2.78,238.00,615.10,194.00,1,209.07
331.00,88,-0.32,253.00,596.93,208.00,1,221.06
331.00,97,0.67,244.00,617.75,196.00,1,207.67
331.00,117,-0.13,227.00,615.10,178.00,2,194.55
332.00,137,3.07,207.00,615.10,162.00,1,175.43
333.00,89,1.79,252.00,596.93,205.00,1,220.73
333.00,102,2.22,240.00,617.75,192.00,1,205.38
335.00,94,0.34,251.00,596.93,205.00,1,221.18
335.00,126,-0.14,223.00,617.75,176.00,1,190.57
335.00,139,4.29,207.00,615.10,157.00,1,173.22
336.00,145,10.95,196.00,615.10,147.00,1,168.16
338.00,106,1.66,242.00,596.93,194.00,1,210.67
338.00,132,1.52,219.00,617.75,170.00,1,183.88
338.00,162,7.82,186.00,615.10,136.00,1,153.61
339.00,136,0.96,217.00,617.75,166.00,1,187.41
341.00,165,11.15,183.00,615.10,129.00,1,147.62
342.00,110,1.10,243.00,596.93,191.00,1,208.54
342.00,168,17.48,175.00,615.10,123.00,1,142.55
344.00,122,-0.58,236.00,596.93,186.00,1,205.01
345.00,152,7.72,202.00,617.75,150.00,1,170.66
345.00,187,12.57,166.00,615.10,116.00,1,129.76
346.00,131,-0.59,230.00,596.93,179.00,1,199.04
346.00,182,14.02,170.00,615.10,116.00,2,139.05
347.00,141,5.51,216.00,596.93,165.00,1,188.61
348.00,144,8.84,211.00,617.75,151.00,1,165.63
348.00,198,12.78,159.00,615.10,108.00,1,128.56
349.00,153,9.83,203.00,617.75,148.00,1,167.52
349.00,161,5.71,200.00,617.75,145.00,1,169.16
349.00,203,14.33,154.00,615.10,105.00,1,125.29
351.00,164,9.04,196.00,617.75,142.00,1,164.67
352.00,142,7.62,218.00,596.93,162.00,1,183.26
352.00,219,8.09,149.00,615.10,96.00,1,113.47
353.00,166,13.26,192.00,596.93,136.00,1,160.33
353.00,167,15.37,189.00,617.75,135.00,1,156.72
353.00,192,10.12,172.00,615.10,120.00,1,142.72
355.00,222,8.42,149.00,615.10,95.00,1,111.01
357.00,169,19.59,187.00,596.93,130.00,1,152.80
357.00,244,7.84,132.00,615.10,79.00,1,100.44
358.00,193,13.23,173.00,617.75,116.00,1,142.04
358.00,245,9.95,130.00,615.10,77.00,1,98.56
359.00,176,16.36,186.00,596.93,129.00,1,156.66
360.00,249,9.39,129.00,615.10,75.00,1,100.11
362.00,250,11.50,128.00,615.10,74.00,1,93.38
363.00,201,9.11,175.00,607.65,115.00,1,137.24
363.00,258,11.38,122.00,615.10,69.00,1,90.61
364.00,211,10.21,166.00,617.75,107.00,1,134.06
365.00,195,14.45,177.00,596.93,113.00,1,138.76
365.00,286,-0.54,111.00,615.10,59.00,1,78.11
366.00,202,12.22,174.00,596.93,111.00,1,142.53
366.00,223,10.53,157.00,617.75,98.00,1,125.35
367.00,220,4.20,167.00,586.83,107.00,1,135.24
367.00,305,0.55,95.00,615.10,41.00,1,61.04
368.00,229,7.19,157.00,617.75,97.00,1,123.09
368.00,308,2.88,91.00,615.10,39.00,1,58.72
369.00,215,8.65,169.00,596.93,106.00,1,139.36
369.00,334,-0.26,72.00,615.10,22.00,1,44.34
370.00,230,8.30,157.00,617.75,96.00,1,125.38
370.00,309,3.99,91.00,615.10,39.00,1,60.02
371.00,339,-0.71,70.00,615.10,19.00,1,42.69
372.00,233,7.63,157.00,617.75,96.00,1,127.74
372.00,241,3.51,154.00,596.93,92.00,1,122.20
373.00,355,-0.95,58.00,615.10,7.00,1,26.78
374.00,243,4.73,153.00,596.93,90.00,1,121.23
374.00,365,-0.85,50.00,615.10,0.00,0,21.51
378.00,237,6.07,161.00,617.75,96.00,1,123.60
378.00,256,9.16,141.00,596.93,76.00,1,107.11
