step,vehicle_id,departDelay,duration,routeLength,waitingTime,waitingCount,timeLoss
346.00,81,8.91,265.00,617.75,211.00,1,232.10
346.00,263,-0.07,112.00,605.00,62.00,1,79.41
347.00,155,0.05,209.00,596.93,154.00,1,180.54
349.00,163,-0.07,204.00,596.93,150.00,1,174.66
350.00,91,6.01,263.00,617.75,205.00,1,226.24
350.00,276,0.36,104.00,615.10,52.00,1,66.74
352.00,118,-0.02,247.00,617.75,188.00,1,213.46
354.00,123,-0.47,245.00,617.75,188.00,1,212.35
354.00,172,0.92,200.00,596.93,141.00,1,164.22
354.00,284,-0.76,102.00,615.10,47.00,1,60.12
355.00,135,-0.15,235.00,617.75,177.00,1,202.59
355.00,289,-0.21,98.00,615.10,44.00,1,71.45
357.00,190,0.90,187.00,596.93,127.00,1,150.90
357.00,292,1.12,96.00,615.10,41.00,1,66.51
358.00,296,3.56,91.00,615.10,38.00,1,62.15
359.00,234,-0.26,151.00,596.93,91.00,1,115.84
360.00,146,-0.94,231.00,617.75,169.00,1,193.37
360.00,315,-0.35,80.00,615.10,25.00,1,51.89
361.00,150,-0.50,228.00,617.75,167.00,1,193.90
361.00,240,-0.60,148.00,596.93,86.00,1,114.76
361.00,331,-0.59,67.00,615.10,15.00,1,36.05
363.00,342,-0.38,59.00,615.10,5.00,1,26.94
364.00,175,1.25,207.00,617.75,144.00,1,171.07
364.00,246,-0.94,146.00,596.93,82.00,1,112.51
365.00,357,-0.73,48.00,615.10,0.00,0,14.05
366.00,345,-0.05,59.00,615.10,6.00,1,25.34
366.00,362,0.82,43.00,615.10,0.00,0,16.47
367.00,185,-0.65,203.00,617.75,139.00,1,166.88
367.00,295,1.45,103.00,615.10,39.00,1,69.38
368.00,366,0.26,42.00,615.10,0.00,0,13.02
369.00,189,-0.21,201.00,617.75,136.00,1,166.31
370.00,310,-0.90,95.00,596.93,30.00,1,59.53
371.00,206,1.66,186.00,617.75,120.00,1,153.45
371.00,311,1.21,93.00,596.93,29.00,1,63.50
373.00,317,1.87,89.00,596.93,25.00,1,56.80
373.00,371,1.81,41.00,615.10,0.00,0,6.67
374.00,232,-0.48,168.00,617.75,102.00,1,134.06
376.00,269,-0.41,137.00,617.75,72.00,1,110.37
376.00,337,-0.93,77.00,596.93,11.00,1,45.27
379.00,275,-0.75,135.00,617.75,68.00,1,101.41
381.00,349,-0.61,71.00,596.93,5.00,1,34.90
382.00,291,1.01,122.00,617.75,54.00,1,87.70
382.00,360,-0.40,62.00,596.93,0.00,0,35.52
383.00,380,1.80,43.00,615.10,0.00,0,5.19
384.00,298,4.78,114.00,617.75,45.00,1,79.91
384.00,367,2.37,55.00,596.93,0.00,0,22.44
384.00,381,3.91,41.00,615.10,0.00,0,7.95
387.00,329,-0.81,95.00,617.75,25.00,1,58.37
390.00,338,1.18,88.00,617.75,17.00,1,53.41
390.00,375,3.25,53.00,596.93,0.00,0,13.71
392.00,373,3.03,57.00,617.75,0.00,0,20.85
393.00,396,-0.44,41.00,596.93,0.00,0,8.86
403.00,406,-0.34,42.00,617.75,0.00,0,7.63
405.00,408,0.88,41.00,617.75,0.00,0,8.43
405.00,415,-0.35,36.00,615.10,0.00,0,6.17
411.00,416,1.76,39.00,596.93,0.00,0,10.47
412.00,84,0.24,337.00,617.75,301.00,1,310.44
413.00,80,0.80,341.00,615.10,301.00,1,311.22
419.00,87,0.57,341.00,596.93,298.00,1,311.04
421.00,95,2.45,334.00,617.75,290.00,1,302.70
422.00,92,2.12,338.00,615.10,287.00,1,299.81
423.00,90,0.90,342.00,596.93,296.00,1,309.71
423.00,96,4.56,333.00,617.75,287.00,1,300.51
424.00,105,2.55,328.00,615.10,278.00,1,297.82
424.00,114,3.54,319.00,596.93,274.00,1,290.09
425.00,107,3.77,326.00,615.10,275.00,2,295.27
426.00,100,4.00,333.00,617.75,285.00,1,301.99
427.00,119,9.09,312.00,615.10,264.00,1,281.94
428.00,113,1.43,326.00,615.10,275.00,1,294.05
429.00,124,10.64,308.00,615.10,255.00,2,277.27
430.00,115,5.65,322.00,596.93,271.00,1,286.80
430.00,116,8.76,318.00,615.10,270.00,1,290.61
430.00,140,5.40,300.00,615.10,246.00,1,271.47
431.00,121,10.31,313.00,596.93,264.00,1,283.92
432.00,158,2.38,289.00,615.10,236.00,1,253.73
